accuracy,precision,recall,f1,TN,FP,FN,TP,cv_fold,params
0.9296737044145873,0.06036745406824147,0.18699186991869918,0.09126984126984126,12063,716,200,46,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9312092130518235,0.05722070844686648,0.17073170731707318,0.08571428571428572,12087,692,204,42,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9354318618042227,0.060561299852289516,0.16666666666666666,0.08884073672806067,12143,636,205,41,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9290595009596929,0.05859375,0.18292682926829268,0.08875739644970414,12056,723,201,45,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.934510556621881,0.04769001490312966,0.13008130081300814,0.0697928026172301,12140,639,214,32,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9298272552783109,0.0639686684073107,0.1991869918699187,0.09683794466403162,12062,717,197,49,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 4, 'reg_alpha': 0.05, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.930595009596929,0.051771117166212535,0.15447154471544716,0.07755102040816327,12083,696,208,38,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9371209213051823,0.06259541984732825,0.16666666666666666,0.09100998890122086,12165,614,205,41,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9323608445297504,0.06684856753069578,0.1991869918699187,0.10010214504596528,12095,684,197,49,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9361228406909788,0.05198776758409786,0.13821138211382114,0.07555555555555556,12159,620,212,34,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9313627639155471,0.06334231805929919,0.1910569105691057,0.0951417004048583,12084,695,199,47,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9319001919385796,0.056708160442600276,0.16666666666666666,0.0846233230134159,12097,682,205,41,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9358925143953934,0.06240713224368499,0.17073170731707318,0.09140369967355821,12148,631,204,42,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9312092130518235,0.064343163538874,0.1951219512195122,0.0967741935483871,12081,698,198,48,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9369673704414587,0.05426356589147287,0.14227642276422764,0.07856341189674523,12169,610,211,35,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9283685220729366,0.06353240152477764,0.2032520325203252,0.0968054211035818,12042,737,196,50,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9349712092130518,0.060029282576866766,0.16666666666666666,0.08826695371367062,12137,642,205,41,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9354318618042227,0.0631424375917768,0.17479674796747968,0.09277238403451996,12141,638,203,43,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9302879078694818,0.0633245382585752,0.1951219512195122,0.09561752988047809,12069,710,198,48,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9338963531669866,0.05370101596516691,0.15040650406504066,0.07914438502673797,12127,652,209,37,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9291362763915547,0.0609597924773022,0.1910569105691057,0.09242871189773845,12055,724,199,47,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
0.9315163147792707,0.05509641873278237,0.16260162601626016,0.0823045267489712,12093,686,206,40,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9372744721689059,0.0654490106544901,0.17479674796747968,0.09523809523809523,12165,614,203,43,1.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9302879078694818,0.0598404255319149,0.18292682926829268,0.09018036072144289,12072,707,201,45,2.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9355854126679463,0.05279034690799397,0.14227642276422764,0.07700770077007701,12151,628,211,35,3.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9313627639155471,0.062162162162162166,0.18699186991869918,0.09330628803245436,12085,694,200,46,4.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.07, 'subsample': 1, 'colsample_bytree': 0.7, 'min_child_weight': 3}"
0.9312092130518235,0.0547945205479452,0.16260162601626016,0.08196721311475409,12089,690,206,40,0.0,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 5, 'reg_alpha': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3}"
